epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,935.333,0.57757,0.45112,0.91071,0.94426,1,0.94493,0.83719,0.47944,0.47304,0.84699,0.00178586,0.00178586,0.00178586
66,945.998,0.5849,0.44421,0.89391,0.61146,0.9589,0.65749,0.58109,0.45203,0.95775,0.84052,0.00177937,0.00177937,0.00177937
67,955.869,0.58462,0.52043,0.95803,0.63495,0.9589,0.66338,0.58795,0.47044,1.07287,0.84231,0.00177281,0.00177281,0.00177281
68,964.522,0.54642,0.43333,0.92995,0.78515,0.95119,0.93165,0.8378,0.46232,0.81344,0.83939,0.00176616,0.00176616,0.00176616
69,973.242,0.58494,0.46856,0.89682,0.96662,1,0.98764,0.88334,0.45166,0.52473,0.84374,0.00175943,0.00175943,0.00175943
70,982.49,0.58126,0.44329,0.94676,0.96606,1,0.98667,0.88976,0.4588,0.48228,0.84587,0.00175261,0.00175261,0.00175261
71,991.516,0.55179,0.42872,0.92424,0.98027,1,0.99135,0.89459,0.46416,0.50025,0.84571,0.00174571,0.00174571,0.00174571
72,999.407,0.60617,0.53582,0.97454,0.98381,1,0.99419,0.89499,0.46782,0.47951,0.84571,0.00173874,0.00173874,0.00173874
73,1009.01,0.53597,0.43496,0.88483,0.9828,1,0.99486,0.89581,0.47063,0.44545,0.84836,0.00173168,0.00173168,0.00173168
74,1018.89,0.58103,0.43193,0.9356,0.99459,1,0.995,0.90997,0.44382,0.38697,0.84458,0.00172454,0.00172454,0.00172454
75,1026.43,0.50563,0.41226,0.89205,0.99783,1,0.995,0.8997,0.44767,0.3704,0.84298,0.00171733,0.00171733,0.00171733
76,1034.45,0.52778,0.39701,0.91247,0.99778,1,0.995,0.91387,0.43536,0.35406,0.83699,0.00171004,0.00171004,0.00171004
77,1043.61,0.55862,0.45213,0.89795,0.99833,1,0.995,0.92204,0.41446,0.33262,0.83062,0.00170267,0.00170267,0.00170267
78,1052.59,0.51218,0.39699,0.89542,0.99768,1,0.995,0.91976,0.41582,0.33822,0.83001,0.00169522,0.00169522,0.00169522
79,1059,0.55205,0.4215,0.89972,0.9827,1,0.99473,0.91577,0.43241,0.35664,0.83508,0.0016877,0.0016877,0.0016877
80,1067.93,0.56306,0.47342,0.96067,0.98547,1,0.995,0.91435,0.42901,0.37063,0.83092,0.00168011,0.00168011,0.00168011
81,1079.14,0.50932,0.41112,0.88044,0.99844,1,0.995,0.91117,0.43627,0.3452,0.83458,0.00167244,0.00167244,0.00167244
82,1089.53,0.5643,0.43605,0.89067,1,0.99821,0.995,0.90004,0.43692,0.34206,0.8365,0.0016647,0.0016647,0.0016647
83,1096.92,0.52377,0.43453,0.88598,0.99986,1,0.995,0.91098,0.4201,0.33555,0.83266,0.00165689,0.00165689,0.00165689
84,1104.59,0.56663,0.50609,0.94264,0.99881,1,0.995,0.90255,0.43504,0.34489,0.83664,0.001649,0.001649,0.001649
85,1112.08,0.54255,0.40434,0.89,0.9905,1,0.995,0.89673,0.4463,0.35902,0.84189,0.00164105,0.00164105,0.00164105
86,1121.12,0.51118,0.38709,0.87066,0.93902,1,0.95343,0.87197,0.40593,0.40231,0.83451,0.00163303,0.00163303,0.00163303
87,1130.21,0.53332,0.41106,0.91741,0.9456,1,0.97692,0.88796,0.41976,0.41479,0.83866,0.00162494,0.00162494,0.00162494
88,1137.46,0.57062,0.44522,0.91901,0.94625,1,0.97085,0.8783,0.44885,0.44488,0.84904,0.00161678,0.00161678,0.00161678
89,1146.24,0.55073,0.42716,0.88699,0.96707,1,0.97607,0.88227,0.45565,0.43775,0.84966,0.00160855,0.00160855,0.00160855
90,1154.84,0.52791,0.42679,0.91214,0.98421,1,0.99486,0.91026,0.42336,0.38503,0.8359,0.00160026,0.00160026,0.00160026
91,1162.64,0.55833,0.41986,0.90718,1,0.99968,0.995,0.90278,0.45421,0.37277,0.84102,0.00159191,0.00159191,0.00159191
92,1171.11,0.50996,0.39362,0.86171,1,0.99947,0.995,0.90509,0.45623,0.38059,0.83874,0.00158349,0.00158349,0.00158349
93,1180.04,0.54993,0.43681,0.84411,0.98469,1,0.99473,0.90773,0.43868,0.36341,0.8375,0.00157501,0.00157501,0.00157501
94,1188.48,0.51224,0.40892,0.88926,0.98449,1,0.99446,0.89511,0.445,0.34717,0.83789,0.00156646,0.00156646,0.00156646
95,1196.95,0.55843,0.43433,0.93444,0.98488,1,0.98216,0.89184,0.43224,0.34391,0.83682,0.00155786,0.00155786,0.00155786
96,1205.81,0.55047,0.41481,0.92674,0.98522,1,0.98216,0.90797,0.41995,0.33987,0.83427,0.00154919,0.00154919,0.00154919
97,1214.72,0.50261,0.41874,0.91538,0.98423,1,0.99486,0.91659,0.41728,0.34162,0.83154,0.00154047,0.00154047,0.00154047
98,1222.23,0.50767,0.41481,0.90896,1,0.99697,0.995,0.92751,0.40475,0.33762,0.82565,0.00153169,0.00153169,0.00153169
99,1231.34,0.50578,0.37848,0.90249,0.98432,1,0.99473,0.9347,0.40625,0.33477,0.83133,0.00152285,0.00152285,0.00152285
100,1239.85,0.50034,0.39253,0.93645,0.983,1,0.99135,0.93123,0.40643,0.35489,0.8339,0.00151395,0.00151395,0.00151395
101,1249.2,0.50923,0.40122,0.9006,0.99469,1,0.995,0.93381,0.40153,0.3551,0.82822,0.001505,0.001505,0.001505
102,1257.92,0.52122,0.40138,0.85366,0.97279,1,0.99432,0.92073,0.43223,0.35648,0.84993,0.00149599,0.00149599,0.00149599
103,1265.09,0.51376,0.40243,0.90699,0.9932,1,0.995,0.92002,0.43321,0.34858,0.85113,0.00148694,0.00148694,0.00148694
104,1272.95,0.49902,0.37896,0.87733,0.99654,1,0.995,0.93743,0.4125,0.34384,0.84063,0.00147783,0.00147783,0.00147783
105,1279.53,0.51314,0.41487,0.923,0.9978,1,0.995,0.93724,0.39225,0.33784,0.82608,0.00146866,0.00146866,0.00146866
106,1284.54,0.45883,0.345,0.84503,1,0.99948,0.995,0.91585,0.3898,0.34014,0.82531,0.00145945,0.00145945,0.00145945
107,1290.73,0.49845,0.39469,0.8878,0.99963,1,0.995,0.90821,0.40667,0.33366,0.83092,0.00145019,0.00145019,0.00145019
108,1297.42,0.53603,0.44291,0.93617,0.99884,1,0.995,0.90349,0.4297,0.33701,0.83914,0.00144088,0.00144088,0.00144088
109,1303.41,0.56895,0.4179,0.90798,0.99679,1,0.995,0.90069,0.44217,0.34138,0.84696,0.00143152,0.00143152,0.00143152
110,1308.77,0.46686,0.36429,0.84454,0.9952,1,0.995,0.91753,0.41517,0.34255,0.8428,0.00142212,0.00142212,0.00142212
111,1315.76,0.49181,0.40471,0.90771,0.98345,1,0.98622,0.92339,0.39918,0.3356,0.83457,0.00141267,0.00141267,0.00141267
112,1322.31,0.50709,0.38924,0.93541,0.98756,1,0.995,0.93725,0.39571,0.31671,0.83006,0.00140318,0.00140318,0.00140318
113,1327.36,0.51065,0.46957,0.93941,0.99908,1,0.995,0.93566,0.39247,0.30331,0.82833,0.00139364,0.00139364,0.00139364
114,1333.25,0.43812,0.35453,0.88261,0.99948,1,0.995,0.93421,0.40146,0.31436,0.82805,0.00138406,0.00138406,0.00138406
115,1339.89,0.46324,0.41766,0.93293,0.99931,1,0.995,0.93089,0.39593,0.3186,0.82669,0.00137444,0.00137444,0.00137444
116,1345.42,0.43923,0.33039,0.85249,0.999,1,0.995,0.93409,0.38946,0.32222,0.82493,0.00136478,0.00136478,0.00136478
117,1351.66,0.45624,0.3681,0.86988,0.99815,1,0.995,0.93477,0.37695,0.3246,0.82301,0.00135509,0.00135509,0.00135509
118,1358.14,0.45267,0.37674,0.88113,0.99747,1,0.995,0.92874,0.37571,0.31862,0.82143,0.00134535,0.00134535,0.00134535
119,1364.32,0.48881,0.39822,0.8892,0.99863,1,0.995,0.92841,0.37807,0.30339,0.81808,0.00133558,0.00133558,0.00133558
120,1370.05,0.50754,0.38854,0.89248,0.99907,1,0.995,0.9351,0.38088,0.30039,0.81787,0.00132577,0.00132577,0.00132577
121,1376.17,0.46661,0.35897,0.87628,0.99926,1,0.995,0.93832,0.38088,0.30357,0.81904,0.00131593,0.00131593,0.00131593
122,1381.34,0.5298,0.39079,0.90264,0.99911,1,0.995,0.93377,0.39164,0.31374,0.82443,0.00130605,0.00130605,0.00130605
123,1387.82,0.4502,0.35843,0.87104,0.99903,1,0.995,0.94078,0.3849,0.30423,0.82243,0.00129614,0.00129614,0.00129614
124,1393.89,0.49906,0.40777,0.8854,0.99897,1,0.995,0.94257,0.36966,0.30074,0.81935,0.0012862,0.0012862,0.0012862
125,1401.06,0.47586,0.37329,0.88727,0.99738,1,0.995,0.94035,0.3553,0.31654,0.8156,0.00127623,0.00127623,0.00127623
126,1406.66,0.46822,0.35328,0.87348,0.97074,1,0.98336,0.91917,0.35191,0.36951,0.81493,0.00126623,0.00126623,0.00126623
127,1414.22,0.44917,0.37303,0.87979,0.99719,1,0.995,0.93767,0.35958,0.34093,0.81729,0.0012562,0.0012562,0.0012562
128,1420.26,0.49479,0.35384,0.90359,0.99722,1,0.995,0.94141,0.35688,0.3229,0.81439,0.00124615,0.00124615,0.00124615
129,1425.58,0.47022,0.34849,0.85263,0.98406,1,0.98595,0.92938,0.35638,0.30923,0.81119,0.00123607,0.00123607,0.00123607
130,1431.91,0.42253,0.33552,0.84506,0.98553,1,0.995,0.94452,0.36219,0.28762,0.81157,0.00122596,0.00122596,0.00122596
131,1437.99,0.4639,0.34821,0.83387,0.99824,1,0.995,0.93957,0.36898,0.28359,0.81432,0.00121583,0.00121583,0.00121583
132,1444.19,0.5204,0.44517,0.91442,0.99826,1,0.995,0.93794,0.37603,0.29289,0.81566,0.00120568,0.00120568,0.00120568
133,1449.93,0.45815,0.33571,0.84394,0.99807,1,0.995,0.93606,0.38247,0.30036,0.81537,0.00119551,0.00119551,0.00119551
134,1456.27,0.45175,0.36294,0.88969,0.99948,1,0.995,0.94878,0.3764,0.29235,0.81405,0.00118531,0.00118531,0.00118531
135,1461.85,0.47586,0.36203,0.87264,0.99889,1,0.995,0.95322,0.36733,0.29251,0.81287,0.0011751,0.0011751,0.0011751
136,1467.87,0.46793,0.33992,0.86397,0.99785,1,0.995,0.94544,0.36348,0.29141,0.81177,0.00116487,0.00116487,0.00116487
137,1473.33,0.54951,0.40734,0.96084,0.99765,1,0.995,0.94654,0.36104,0.29368,0.81109,0.00115462,0.00115462,0.00115462
138,1479.45,0.44661,0.35573,0.89768,0.98365,1,0.9927,0.93717,0.36173,0.31538,0.8119,0.00114436,0.00114436,0.00114436
139,1485.56,0.43494,0.34232,0.87113,0.97323,0.99618,0.98199,0.92691,0.34792,0.33449,0.80951,0.00113408,0.00113408,0.00113408
140,1493.87,0.451,0.36602,0.8963,0.96292,1,0.99165,0.93552,0.33979,0.32444,0.81025,0.00112379,0.00112379,0.00112379
141,1499.64,0.45961,0.34452,0.89751,0.96871,1,0.99203,0.94264,0.32693,0.32341,0.80688,0.00111348,0.00111348,0.00111348
142,1506.6,0.43844,0.34679,0.88419,0.99835,1,0.995,0.94786,0.31734,0.30118,0.8068,0.00110317,0.00110317,0.00110317
143,1511.97,0.4024,0.31239,0.84337,0.99858,1,0.995,0.95298,0.32396,0.29195,0.80723,0.00109284,0.00109284,0.00109284
144,1517.98,0.41468,0.32631,0.87817,0.99852,1,0.995,0.95791,0.33501,0.28974,0.80828,0.00108251,0.00108251,0.00108251
145,1523.72,0.45269,0.32437,0.86698,0.99869,1,0.995,0.96351,0.34089,0.28615,0.80772,0.00107216,0.00107216,0.00107216
146,1530.15,0.43388,0.33971,0.87272,0.99887,1,0.995,0.96683,0.35175,0.27998,0.80275,0.00106181,0.00106181,0.00106181
147,1536.25,0.44769,0.33319,0.91282,0.99893,1,0.995,0.96873,0.34323,0.27545,0.79986,0.00105146,0.00105146,0.00105146
148,1542.64,0.41323,0.31804,0.86463,0.99869,1,0.995,0.96704,0.33509,0.27256,0.79844,0.0010411,0.0010411,0.0010411
149,1548.47,0.40006,0.32169,0.86229,0.99776,1,0.995,0.96433,0.32282,0.27526,0.7962,0.00103073,0.00103073,0.00103073
150,1553.91,0.44872,0.3529,0.88916,0.99798,1,0.995,0.96257,0.32094,0.27394,0.79982,0.00102037,0.00102037,0.00102037
151,1558.99,0.40293,0.31094,0.86098,0.98303,1,0.99486,0.95821,0.32346,0.28678,0.80296,0.00101,0.00101,0.00101
152,1564.23,0.39007,0.30983,0.82777,0.98341,1,0.99486,0.95472,0.31929,0.29359,0.80464,0.000999633,0.000999633,0.000999633
153,1570.86,0.42757,0.32718,0.83902,0.97578,1,0.99324,0.956,0.32055,0.30286,0.80526,0.000989267,0.000989267,0.000989267
154,1577.51,0.43448,0.3357,0.87333,0.97221,1,0.99324,0.94538,0.3117,0.29105,0.80009,0.000978903,0.000978903,0.000978903
155,1583.25,0.39954,0.29775,0.82791,0.97386,1,0.99216,0.95459,0.30216,0.28936,0.7969,0.000968543,0.000968543,0.000968543
156,1587.48,0.39042,0.2908,0.85053,0.97107,1,0.98986,0.94977,0.30094,0.29242,0.79721,0.000958187,0.000958187,0.000958187
157,1594.98,0.4151,0.3507,0.88193,0.98551,1,0.995,0.96811,0.30313,0.28706,0.79512,0.000947837,0.000947837,0.000947837
158,1600.37,0.41865,0.3064,0.83784,0.9979,1,0.995,0.96172,0.3084,0.27003,0.79382,0.000937494,0.000937494,0.000937494
159,1605.7,0.39031,0.30905,0.8353,0.99881,1,0.995,0.96311,0.31304,0.26946,0.79642,0.000927159,0.000927159,0.000927159
160,1611.78,0.39145,0.28106,0.83809,0.99889,1,0.995,0.9672,0.32259,0.26693,0.79924,0.000916833,0.000916833,0.000916833
161,1619.17,0.41999,0.32006,0.85337,0.99665,1,0.995,0.96026,0.32208,0.2667,0.79812,0.000906517,0.000906517,0.000906517
162,1626.05,0.37677,0.28946,0.85422,0.99664,1,0.995,0.96333,0.31372,0.27355,0.79655,0.000896212,0.000896212,0.000896212
